1917	
	(3.1007525,0)	(-51.21643415,0)	(-6.476532373,0)	(-41.79459283,0)	(-1.401405316,0)
	(-1.701236786,0)	(-0.06830799457,0)	(0.0462099659,0)	(0.1585966195,0)	(0.2737065884,0)
	(0.177511954,0)	(-0.1988745967,0)	(-0.1369744397,0)	(0.01252253161,0)	(0.1045034394,0)
	(-0.0531568054,0)	(-0.03733256714,0)	(-0.04307757806,0)	(-0.03729566904,0)	(-25.21871958,0)
	(-6.991608254,0)	(-5.340019846,0)	(0.5751905136,0)	(0.1617447576,0)	(-1.67020465,0)
	(-0.4173168175,0)	(-2.958612022,0)	(-2.493513339,0)	(-8.307874221,0)	(-22.30764603,0)
	(-50.81297232,0)	(-44.79714263,0)	(-40.96879872,0)	(-77.18935043,0)	(-51.22346888,0)
	(-52.88124728,0)	(0.07662904836,0)	(-0.006275049819,0)	(0.1580364537,0)	(0.2184616187,0)
	(-0.05632047131,0)	(0.1119352073,0)	(0.1241579884,0)	(0.1045142806,0)	(-0.3837912857,0)
	(-0.06001338805,0)	(0.1250281404,0)	(0.126960331,0)	(0.2047333731,0)	(0.08753862817,0)
	(0.1543547963,0)	(0.1069530653,0)	(-17.69731779,0)	(2.15708699,0)	(4.492444288,0)
	(-8.432084313,0)	(5.746726131,0)	(2.638321048,0)	(-0.2456816306,0)	(1.193762237,0)
	(-0.9789498014,0)	(-0.03372874548,0)	(-1.640861033,0)	(2.125101734,0)	(1.223255497,0)
	(-25.08544996,0)	(-21.56421344,0)	(-2.819167856,0)	(-19.14434772,0)	(-1.96450704,0)
	(-0.09329934817,0)	(0.1854872121,0)	(0.2461731914,0)	(-0.2044297009,0)	(0.0404812428,0)
	(-0.05331043072,0)	(-0.09180698408,0)	(0.00250249662,0)	(0.09956938251,0)	(-0.0462886767,0)
	(-0.06016164279,0)	(-0.04949292474,0)	(0.040905036,0)	(0.08889629629,0)	(-12.1342857,0)
	(-6.765894205,0)	(-3.760355279,0)	(0.7445555426,0)	(-0.04963262602,0)	(-1.225152395,0)
	(-2.421437812,0)	(1.496168852,0)	(3.271505672,0)	(42.4035018,0)	(-90.31502681,0)
	(0.1353119161,0)	(-16.17060288,0)	(27.10892922,0)	(-25.58934022,0)	(51.30680325,0)
	(-40.66957254,0)	(-0.0335591478,0)	(0.04780997031,0)	(0.1520145623,0)	(0.1988903871,0)
	(0.2039361659,0)	(0.09307478558,0)	(0.1610328487,0)	(0.2472675462,0)	(0.3994589959,0)
	(-0.1611390174,0)	(0.2245421172,0)	(0.1911875131,0)	(-0.2186766797,0)	(-0.1589778059,0)
	(0.04287433285,0)	(-0.0603762072,0)	(-0.08601942473,0)	(-10.51548133,0)	(4.663132894,0)
	(1.572487327,0)	(6.229814481,0)	(0.5891345024,0)	(1.388090222,0)	(1.549776136,0)
	(0.1562336948,0)	(-2.242759902,0)	(48.70640327,0)	(-91.88566273,0)	(-14.57507905,0)
	(-12.67180541,0)	(-1.075963982,0)	(14.80531403,0)	(-10.06675718,0)	(0.1236830451,0)
	(0.1316574721,0)	(0.044855843,0)	(-0.07252545842,0)	(-0.02207628628,0)	(-0.009034078282,0)
	(-0.03289626129,0)	(0.02131012936,0)	(-0.1666547341,0)	(0.1029577397,0)	(0.111622717,0)
	(-0.142572592,0)	(-0.06218151608,0)	(-7.273565858,0)	(-5.222218265,0)	(0.3535943748,0)
	(-0.5626138629,0)	(-1.602410261,0)	(2.794714918,0)	(0.7018851697,0)	(1.510315836,0)
	(-13.19607502,0)	(-96.07269912,0)	(49.24217763,0)	(53.51429773,0)	(-45.09874419,0)
	(11.06732744,0)	(2.642060727,0)	(-22.11086563,0)	(27.5104549,0)	(-0.05347312225,0)
	(0.0508503922,0)	(0.1564083781,0)	(-0.1778377002,0)	(0.2091192067,0)	(-0.4014294076,0)
	(0.3135111991,0)	(-0.3000730048,0)	(0.2457812728,0)	(0.1661694593,0)	(-0.2017386487,0)
	(-0.1205284748,0)	(-0.0598640881,0)	(-0.05379845572,0)	(-0.05848027665,0)	(0.1226682835,0)
	(-0.0480397193,0)	(0.1162878159,0)	(0.006282932127,0)	(1.579407503,0)	(5.467765767,0)
	(3.379793529,0)	(0.2902957037,0)	(1.59386832,0)	(0.5222390247,0)	(-0.5552173678,0)
	(1.333401274,0)	(-1.554041264,0)	(60.6593087,0)	(-7.750556073,0)	(-46.03479565,0)
	(-5.241824733,0)	(-5.96830027,0)	(-5.462801268,0)	(0.1401628051,0)	(0.0353021619,0)
	(-0.03152759683,0)	(-0.04328636965,0)	(0.04344784461,0)	(0.143533607,0)	(-0.2061198949,0)
	(0.04000017728,0)	(0.1479667253,0)	(-0.2440376815,0)	(-0.1733862699,0)	(0.1185170267,0)
	(-0.1244998697,0)	(-0.1598694358,0)	(-0.1296934788,0)	(-7.084109418,0)	(5.563237029,0)
	(3.366043018,0)	(-0.7088899348,0)	(0.4717783109,0)	(-2.669240021,0)	(1.821237463,0)
	(-1.114461033,0)	(-95.05755183,0)	(54.31008088,0)	(-6.863953882,0)	(-47.89124977,0)
	(61.74719928,0)	(-23.17358544,0)	(26.85583354,0)	(-11.4679924,0)	(11.91532618,0)
	(-0.06080158144,0)	(0.0957843162,0)	(-0.1960356567,0)	(-0.3260665165,0)	(-0.4239710239,0)
	(0.2154908695,0)	(-0.2467196156,0)	(-0.2138136181,0)	(-0.1757545415,0)	(-0.103136588,0)
	(-0.2178913069,0)	(-0.06705640421,0)	(-0.0165062749,0)	(0.003464424831,0)	(-0.09026924163,0)
	(-0.1196811635,0)	(-0.1069483114,0)	(-0.01365565408,0)	(-3.368001473,0)	(4.51852319,0)
	(3.17009956,0)	(0.8183752413,0)	(1.904246694,0)	(-0.409007279,0)	(2.212012019,0)
	(-5.568629195,0)	(24.89166703,0)	(-1.685179347,0)	(-23.37363026,0)	(-7.40737498,0)
	(-8.551131581,0)	(-0.1496017051,0)	(-0.2108377011,0)	(-0.05877999335,0)	(-0.1110529904,0)
	(0.03689799263,0)	(0.1994853047,0)	(0.2083383209,0)	(0.1870639328,0)	(-0.2552699788,0)
	(-0.08624140519,0)	(0.1456888557,0)	(-0.195495584,0)	(-0.1829236284,0)	(-0.1504485009,0)
	(-0.1437866526,0)	(-0.1835672997,0)	(-0.1463359241,0)	(-0.1794511635,0)	(-0.0689535464,0)
	(4.099628943,0)	(-9.651220058,0)	(-2.378500632,0)	(0.6804323089,0)	(-0.6414244535,0)
	(-1.843970811,0)	(53.62343607,0)	(-96.34729452,0)	(67.3570581,0)	(-47.57724763,0)
	(-9.970833269,0)	(23.85727842,0)	(-18.18159234,0)	(6.593889958,0)	(-13.02889989,0)
	(-0.0402647806,0)	(0.07868272344,0)	(0.4311502721,0)	(0.08031143229,0)	(0.2051765143,0)
	(-0.137762034,0)	(0.1289808314,0)	(-0.4620672666,0)	(-0.06942077933,0)	(-0.1019228511,0)
	(-0.0862554051,0)	(-0.3597111579,0)	(0.1129416167,0)	(-0.01296944804,0)	(-0.01899425469,0)
	(0.0147478371,0)	(-0.2287721777,0)	(-0.001450449962,0)	(-0.01916991269,0)	(-0.02989954501,0)
	(-0.1611063483,0)	(-0.1637190515,0)	(-2.729414426,0)	(4.007658087,0)	(4.743002615,0)
	(1.652520909,0)	(2.166085378,0)	(1.96296372,0)	(1.121289209,0)	(0.1639312045,0)
	(66.91982833,0)	(-2.833800148,0)	(-48.08285068,0)	(6.748745306,0)	(-7.163923093,0)
	(-8.672154414,0)	(10.23602997,0)	(-0.1735579113,0)	(-0.1382453003,0)	(0.2249982933,0)
	(-0.2056379509,0)	(0.192629242,0)	(-0.3115363379,0)	(-0.4212472226,0)	(0.1606137892,0)
	(-0.2420855861,0)	(-0.1139616982,0)	(-0.3451922042,0)	(-0.212904498,0)	(-0.1850560675,0)
	(-0.2221917252,0)	(-0.1709701634,0)	(-0.2812948983,0)	(-0.1328403677,0)	(-0.1126793924,0)
	(-0.2310141276,0)	(-0.01111629974,0)	(0.1270492204,0)	(-0.06558441392,0)	(5.4166378,0)
	(-1.875795303,0)	(-1.585258509,0)	(0.7015394485,0)	(-0.4122888435,0)	(56.90185075,0)
	(-92.65132761,0)	(2.260632059,0)	(-18.02066363,0)	(26.87004577,0)	(-10.73245035,0)
	(11.44863987,0)	(5.899395176,0)	(2.553068821,0)	(0.07934499444,0)	(-0.1728689319,0)
	(-0.00968011315,0)	(-0.0132669222,0)	(-0.05624657389,0)	(0.111299905,0)	(-0.3487505336,0)
	(0.1180580249,0)	(-0.3115259983,0)	(0.01170906923,0)	(-0.2011732973,0)	(0.1114421329,0)
	(0.08411955198,0)	(0.05255903785,0)	(-0.2838470065,0)	(-0.07511717264,0)	(0.0133926845,0)
	(-0.1856862432,0)	(-0.1551807999,0)	(-0.1604874658,0)	(1.48444549,0)	(3.974495206,0)
	(1.282823073,0)	(2.672654219,0)	(-0.5634729139,0)	(-1.470565125,0)	(0.01678957083,0)
	(54.87255946,0)	(-90.96199461,0)	(2.72166694,0)	(-22.93429581,0)	(27.3252977,0)
	(-7.346559545,0)	(-17.15131683,0)	(-0.7212509636,0)	(-6.830870363,0)	(10.12032854,0)
	(-0.2097971484,0)	(0.1711369524,0)	(-0.1050470824,0)	(-0.4041031969,0)	(-0.4125856719,0)
	(-0.2971997938,0)	(-0.1667796038,0)	(-0.4217656058,0)	(-0.1887894238,0)	(-0.4672996041,0)
	(-0.237904067,0)	(-0.110827423,0)	(-0.379300335,0)	(-0.2151344956,0)	(0.1793369786,0)
	(-0.0002825412332,0)	(-0.001627241525,0)	(0.1846884831,0)	(-4.04091285,0)	(-0.8304910327,0)
	(-2.226166238,0)	(0.5145296376,0)	(1.462125411,0)	(8.060431285,0)	(56.46387825,0)
	(-33.64556102,0)	(24.45290098,0)	(-14.42635371,0)	(11.98553959,0)	(-13.09240733,0)
	(-0.4495331758,0)	(6.463854858,0)	(-0.07614870195,0)	(0.07806876724,0)	(-0.1454471088,0)
	(0.07856413343,0)	(0.2106848325,0)	(-0.3056302229,0)	(-0.221450534,0)	(-0.1765664321,0)
	(0.0436576601,0)	(-0.454957741,0)	(0.3342754513,0)	(0.01784770226,0)	(0.01601869873,0)
	(-0.3747370477,0)	(-0.1228981826,0)	(0.1971619027,0)	(-0.129547501,0)	(-0.1575224926,0)
